env_id,cpu_logical,cpu_physical,ram_gb,gpu_available,gpu_vram_gb,num_workers,num_workers_req,batch_size,run1,run2,run3,load_time_median,workers_x_cpu,batch_x_ram,cpu_per_worker,workers_x_gpu,batch_x_gpu
gpu_06,24,24,15.36,1,7.96,4,,64,0.0437,0.0395,0.0444,0.0437,96,4.166666666666667,4.8,4,64
gpu_06,24,24,15.36,1,7.96,4,,128,0.0814,0.078,0.101,0.0814,96,8.333333333333334,4.8,4,128
gpu_06,24,24,15.36,1,7.96,4,,256,0.1585,0.1334,0.1749,0.1585,96,16.666666666666668,4.8,4,256
gpu_07,12,6,14.96,1,3.63,0,,32,0.1486,0.1495,0.1618,0.1495,0,2.13903743315508,12.0,0,32
gpu_07,12,6,14.96,1,3.63,0,,64,0.3001,0.2895,0.2635,0.2895,0,4.27807486631016,12.0,0,64
gpu_07,12,6,14.96,1,3.63,0,,128,0.5161,0.5073,0.5196,0.5161,0,8.55614973262032,12.0,0,128
gpu_07,12,6,14.96,1,3.63,0,,256,1.0068,1.0001,0.8037,1.0001,0,17.11229946524064,12.0,0,256
gpu_07,12,6,14.96,1,3.63,1,,32,0.1519,0.1466,0.1516,0.1516,12,2.13903743315508,6.0,1,32
gpu_07,12,6,14.96,1,3.63,1,,64,0.247,0.2498,0.2529,0.2498,12,4.27807486631016,6.0,1,64
gpu_07,12,6,14.96,1,3.63,1,,128,0.4703,0.4401,0.4411,0.4411,12,8.55614973262032,6.0,1,128
gpu_07,12,6,14.96,1,3.63,1,,256,0.8208,0.8109,0.8469,0.8208,12,17.11229946524064,6.0,1,256
gpu_07,12,6,14.96,1,3.63,2,,32,0.0816,0.0767,0.0787,0.0787,24,2.13903743315508,4.0,2,32
gpu_07,12,6,14.96,1,3.63,2,,64,0.1323,0.1422,0.1382,0.1382,24,4.27807486631016,4.0,2,64
gpu_07,12,6,14.96,1,3.63,2,,128,0.2473,0.2403,0.246,0.246,24,8.55614973262032,4.0,2,128
gpu_07,12,6,14.96,1,3.63,2,,256,0.4454,0.441,0.4623,0.4454,24,17.11229946524064,4.0,2,256
gpu_07,12,6,14.96,1,3.63,4,,32,0.0716,0.0695,0.0626,0.0695,48,2.13903743315508,2.4,4,32
gpu_07,12,6,14.96,1,3.63,4,,64,0.102,0.0838,0.1149,0.102,48,4.27807486631016,2.4,4,64
gpu_07,12,6,14.96,1,3.63,4,,128,0.1495,0.1565,0.1572,0.1565,48,8.55614973262032,2.4,4,128
gpu_07,12,6,14.96,1,3.63,4,,256,0.309,0.2775,0.2767,0.2775,48,17.11229946524064,2.4,4,256
gpu_08,16,10,15.63,1,6.0,0,,32,0.1789,0.1689,0.1622,0.1689,0,2.0473448496481126,16.0,0,32
gpu_08,16,10,15.63,1,6.0,0,,64,0.3512,0.3474,0.339,0.3474,0,4.094689699296225,16.0,0,64
gpu_08,16,10,15.63,1,6.0,0,,128,0.6415,0.624,0.6478,0.6415,0,8.18937939859245,16.0,0,128
gpu_08,16,10,15.63,1,6.0,0,,256,1.3343,1.3437,1.3043,1.3343,0,16.3787587971849,16.0,0,256
gpu_08,16,10,15.63,1,6.0,1,,32,0.1876,0.2119,0.1881,0.1881,16,2.0473448496481126,8.0,1,32
gpu_08,16,10,15.63,1,6.0,1,,64,0.3335,0.3757,0.3266,0.3335,16,4.094689699296225,8.0,1,64
gpu_08,16,10,15.63,1,6.0,1,,128,0.6301,0.6125,0.6713,0.6301,16,8.18937939859245,8.0,1,128
gpu_08,16,10,15.63,1,6.0,1,,256,1.284,1.295,1.2412,1.284,16,16.3787587971849,8.0,1,256
gpu_08,16,10,15.63,1,6.0,2,,32,0.1059,0.1095,0.0978,0.1059,32,2.0473448496481126,5.333333333333333,2,32
gpu_08,16,10,15.63,1,6.0,2,,64,0.2174,0.1779,0.1814,0.1814,32,4.094689699296225,5.333333333333333,2,64
gpu_08,16,10,15.63,1,6.0,2,,128,0.3836,0.3506,0.3439,0.3506,32,8.18937939859245,5.333333333333333,2,128
gpu_08,16,10,15.63,1,6.0,2,,256,0.7891,0.6184,0.7954,0.7891,32,16.3787587971849,5.333333333333333,2,256
